,problem,selection,count
0,for-loop-index,Prog-Only Cohort,2
1,for-loop-index,Cohort-Lexicase,25
2,for-loop-index,Down Sample,27
3,for-loop-index,Truncated,1
4,for-loop-index,Lexicase,3
5,median,Down Sample,41
6,median,Prog-Only Cohort,39
7,median,Cohort-Lexicase,42
8,median,Truncated,39
9,median,Lexicase,41
10,small-or-large,Down Sample,7
11,small-or-large,Truncated,15
12,small-or-large,Cohort-Lexicase,22
13,small-or-large,Prog-Only Cohort,13
14,small-or-large,Lexicase,15
15,smallest,Prog-Only Cohort,45
16,smallest,Cohort-Lexicase,47
17,smallest,Truncated,38
18,smallest,Down Sample,42
19,smallest,Lexicase,43
