,problem,selection,count
0,for-loop-index,Cohort-Lexicase,24
1,for-loop-index,Down Sample,21
2,for-loop-index,Prog-Only Cohort,2
3,for-loop-index,Truncated,2
4,for-loop-index,Lexicase,1
5,median,Cohort-Lexicase,38
6,median,Down Sample,38
7,median,Prog-Only Cohort,41
8,median,Truncated,35
9,median,Lexicase,33
10,small-or-large,Cohort-Lexicase,9
11,small-or-large,Down Sample,4
12,small-or-large,Prog-Only Cohort,6
13,small-or-large,Truncated,9
14,small-or-large,Lexicase,6
15,smallest,Cohort-Lexicase,45
16,smallest,Down Sample,44
17,smallest,Prog-Only Cohort,38
18,smallest,Truncated,38
19,smallest,Lexicase,36
