,problem,selection,count
0,for-loop-index,Cohort-Lexicase,26
1,for-loop-index,Down Sample,12
2,for-loop-index,Prog-Only Cohort,0
3,for-loop-index,Truncated,2
4,for-loop-index,Lexicase,1
5,median,Cohort-Lexicase,28
6,median,Down Sample,7
7,median,Prog-Only Cohort,18
8,median,Truncated,36
9,median,Lexicase,33
10,small-or-large,Cohort-Lexicase,0
11,small-or-large,Down Sample,0
12,small-or-large,Prog-Only Cohort,0
13,small-or-large,Truncated,1
14,small-or-large,Lexicase,6
15,smallest,Cohort-Lexicase,45
16,smallest,Down Sample,15
17,smallest,Prog-Only Cohort,22
18,smallest,Truncated,28
19,smallest,Lexicase,36
